title,original_title,year,rating,companies,country,language,runtime,crew,cast,genres,collection,synopsis,budget,gross,tmdb_score,tmdb_votes,tmdb_id,imdb_id
10.0 Earthquake,10.0 Earthquake,2014,,Indy Entertainment,United States of America,English,88.0,"David Gidali, Nancy Leopardi, Alex Greenfield","Chasty Ballesteros, Heather Sossaman, Olivia Jordan","Drama, Adventure, Action",,"Los Angeles is about to be hit by a devastating earthquake, and time is running out to save the city from imminent danger.",,,4.4,45,302666,tt3488056
100 Ghost Street: The Return of Richard Speck,100 Ghost Street: The Return of Richard Speck,2012,,The Asylum,United States of America,English,84.0,Martin Wichmann,"Jackie Moore, Jennifer Robyn Jacobs, Steve Bencich",Horror,,"A group of paranormal investigators sojourned to the Chicago walk-up where deranged drifter Richard Speck systematically slew eight student nurses back in ’66, looking for restless spirits. Their unfortunate success gets shockingly documented in this fear-filled found-footage foray featuring a bright young cast.",150.0,,4.3,22,122326,tt2297108
100 Girls,100 Girls,2000,,Dream Entertainment,United States of America,English,94.0,"Michael Davis, Ehud Bleiberg, Yitzhak Ginsberg","Jonathan Tucker, Emmanuelle Chriqui, James DeBello","Comedy, Drama, Romance",,"This sexy, teen-comedy is about a freshman, Matthew, at college who meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the ""dream girl"" has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl amongst a hundred female suspects. Could it be Wendy? Dora? Arlene? Patty? Cynthia? Or the 95 other girls, any of whom could have been in that elevator with Matthew.",,,5.8,240,10035,tt0214388
100 Meters,100 metros,2016,,"Castelao Pictures, Filmax",Portugal,Spanish; Castilian,,Marcel Barrena,"Dani Rovira, Alexandra Jiménez, Karra Elejalde","Comedy, Drama",,"Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.",,,7.6,111,402693,tt5089786
100 Million BC,100 Million BC,2008,,The Asylum,United States of America,English,85.0,"Griff Furst, David Michael Latt, David Rimawi","Michael Gross, Christopher Atkins, Greg Evigan",Science Fiction,,"A scientist from the failed Philadelphia Experiment leads a team of Navy SEALs back in time to the Cretaceous Period to rescue the first team he sent back during the 1940s. Things go wildly awry though, when on his return he accidentally brings a giant, man-eating dinosaur back through the portal and into modern-day, downtown Los Angeles.",,,3.2,41,16123,tt1136683
100 Women,100 Women,2002,,Dream Entertainment,United States of America,English,98.0,"Michael Davis, Moshe Peterburg, Ehud Bleiberg","Chad Donella, Jennifer Morrison, Erinn Bartlett","Comedy, Romance",,"A young man returns to his ex-girlfriend and true love to discover the source of her increasing depression. As the young man earnestly tries to help his girlfriend through her troubles, their love begins to bloom.",,,4.7,24,20648,tt0265010
100 Years,100 Years,2016,,,,English,76.0,Melinda Janko,,Documentary,,"""100 Years"" is the David vs. Goliath story of Elouise Cobell, a petite, Native American Warrior who filed the largest class action lawsuit ever filed against the United States Government and won a $3.4 billion settlement for 300,000 Native Americans whose mineral-rich lands were mismanaged by the Department of the Interior.",,,8.0,2,418695,tt3359730
102 Not Out,102 Not Out,2018,,"Benchmark, Sony Pictures Releasing",India,Hindi,107.0,"Umesh Shukla, Ashutosh Goswami, Bhushan Kumar","Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi","Comedy, Family, Drama",,"An unusual love-hate relationship between a 75-year-old son and his 102-year-old father, who wants to break the oldest-man-alive record.",,,7.6,19,460713,tt6580564
108 Stitches,108 Stitches,2014,,,,English,118.0,,,"Comedy, Romance",,"With baseball being the last thing on these player's minds, and dealing with one of the longest losing streaks in college history, the team of misfits comes to the realization that the school, led by the corrupt and unethical President of the University, has plans to disband the entire program. Hilarity ensues as they have one afternoon to execute a plan to fill the stadium, sign the top recruit on the planet, and help send their coach out with a bang.",,,0.0,0,294248,tt3073898
10 Cent Pistol,10 Cent Pistol,2015,,Route 17 Entertainment,United States of America,English,91.0,Michael C. Martin,"Jena Malone, Joe Mantegna, Adam Arkin","Action, Crime, Thriller",,"A story about two lifelong criminals who maneuver through the shady underbelly of Los Angeles in search of wealth, love and redemption.",,,5.2,8,346592,tt2134170
10 Days in a Madhouse,10 Days in a Madhouse,2015,,,United States of America,English,111.0,"Timothy Hines, Marcy Levitas Hamilton, Susan Goforth","Caroline Barry, Christopher Lambert, Kelly LeBrock",Drama,,"Nellie Bly, a 23 year-old reporter for Joseph Pulitzer, goes undercover in the notorious Blackwell's Island women's insane asylum in order to expose corruption, abuse and murder.",1200000.0,,5.1,8,345003,tt3453052
10 Days In Sun City,10 Days In Sun City,2017,,,,English,90.0,Adze Ugah,"Adesua Etomi, Yvonne Jegede, Ayodeji Richard Makun",Comedy,,"A potpourri of love, drama, passion and culture, ""10 Days in Sun City"" is a comedy-drama that sees Akpos on another ‘adventure’, this time, to South Africa, with his girlfriend Bianca.",,,0.0,0,471872,tt10499474
10 jours en or,10 jours en or,2012,,"Loin Derrière L'Oural, Metropolitan Filmexport",France,French,95.0,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer","Comedy, Drama",,French movie written and directed by Nicolas Brossette and starring Franck Dubosc.,,,5.0,42,83390,tt1729630
10 Magnificent Killers,Shi da sha shou,1977,,,Hong Kong,English,86.0,Yeh Fang,"Lik Cheung, Yeh Fang, Chi-ying Chu",Action,,When a man's son is kidnapped by his enemy he must hit the vengeance trail.,,,0.0,0,71596,tt0200399
10x10,10 x 10,2018,,"Head Gear Films, Unstoppable Entertainment",United Kingdom,English,86.0,"Suzi Ewing, Noel Clarke, Jason Maza","Luke Evans, Kelly Reilly, Noel Clarke",Thriller,,"Lewis is an outwardly ordinary guy, but in reality he is hiding an obsession – revenge – against Cathy. Lewis kidnaps Cathy in broad daylight and takes her to his home, where he locks her in a soundproof cell and attempts to extract a dark secret from her past.",,,5.2,268,505177,tt6210996
10 Years Later,10 Years Later,2010,,,,English,,"Aaron Michael Metchik, B.P. Cooper","Jake Hoffman, Rachel Boston, Kathleen Rose Perkins","Comedy, Drama",,"10 Years Later is a dark comedy about six childhood best friends returning home for their ten year high school reunion. When one of them kidnaps an enemy from their past and inadvertently gets the others involved, each must decide whether to turn in a best friend or become accomplices in a dark plot that none of them are sure they can pull off.",,,0.0,0,180041,tt1079974
111 Girls,Darbare 111 dokhtar,2013,,Mij Film Co.,Iraq,Persian,79.0,"Nahid Ghobadi, Bijan Zmanpira, Batin Ghobadi","Reza Behbudi, Mehdi Saki, Amin Sadeghi","Drama, Comedy",,"About 111 Girls is a satirical road movie about a pompous but empathetic government bureaucrat sent by the president himself to investigate the case of 111 young women threatening to jump off a cliff together in the tiny far-off corner of Iranian Kurdistan. Due to wars, bad economy and politics, there seem to be no perspective husbands around, and these young women are protesting the conditions that have left them spinsters. The bureaucrat, accompanied by an assistant and a little boy who seems to be both guide and interpreter leads the search to find the women.",,,4.3,2,197713,tt2417530
11:55,11:55,2017,,,United States of America,English,80.0,"Ari Issler, Ben Snyder, Victor Almanzar","Victor Almanzar, Shirley Rumierk, Elizabeth Rodriguez","Drama, Crime",,"Upon his return home, a U.S. Marine must face up to the consequences of a shameful tragedy that has defined his past before he runs out of time.",,,5.0,8,394770,tt4250438
11/8/16,11/8/16,2017,,,,English,104.0,"Don Argott, Duane Andersen, Yung Chang, Garth Donovan, Petra Epperlein, Vikram Gandhi, Ciara Lacy, Andrew Grace, Sheena M. Joyce, Daniel Junge, Alison Klayman, Alma Har'el, james Gonçalves, Raul Gasteazoro, Michael Tucker, Martha Shane, Bassam Tariq, Elaine McMillion Sheldon",,Documentary,,"American citizens in more than 25 states are followed as they set out on the morning of the presidential election, throughout the course of the day, until the polls close in the evening and the results are revealed.",,,6.3,6,479426,tt7208366
11 Flowers,我11,2011,,"WXS Productions, Chinese Shadows",China,Chinese,110.0,"Wang Xiaoshuai, Didar Domehri, Isabelle Glachant","Liu Wenqing, Yan Ni, Shini Mo",Drama,,A coming-of-age story set during China's Cultural Revolution. 11 year old Wang Han finds himself entangled with a fugative and struggles to understand the adult world.,,,7.4,5,98232,tt2042432
11 Minutes,11 Minut,2015,,"Element Pictures, Skopia Film",Ireland,Polish,81.0,"Jerzy Skolimowski, Ewa Piaskowska","Richard Dormer, Wojciech Mecwaldowski, Andrzej Chyra","Drama, Thriller",,The lives of urbanites intertwine in a world where anything can happen at any time.,2023012.0,,5.6,23,314371,tt3865478
120 Days,120 Days,2015,,,,English,79.0,,,,,"120 Days captures an intimate look at the lives of one family of undocumented immigrants who have lived and worked in the United States illegally for twelve years. Father and husband, Miguel Cortes, could be forced to leave the country in four months as a result of his immigration status. In exchange for Miguel agreeing to leave the country voluntarily, and paying a $5000 bond, the judge offers him 120 days to get his affairs in order before leaving his wife and two daughters in the U.S. to continue their education. Miguel has 120 Days to work hard, save money, and weigh his options about returning to Mexico alone, or changing his name and disappearing back into another U.S. city illegally with his family. - Written by Anonymous",,,5.0,1,422570,tt2960578
12/12/12,12/12/12,2012,,The Asylum,United States of America,German,85.0,Jared Cohn,"Sara Malakul Lane, Jesus Guevara, Carl Donelson",Horror,,"When baby Sebastian is born on 12/12/12 everyone around him starts to die. Soon, his mother realizes that her son is the spawn of Hell.",,,2.3,20,147879,tt2313780
12 Angry Men,12 Angry Men,1957,,"United Artists, Orion-Nova Productions",United States of America,English,97.0,"Sidney Lumet, Henry Fonda, Reginald Rose","Henry Fonda, Martin Balsam, John Fiedler",Drama,,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",350000.0,1000000.0,8.4,4110,389,tt0050083
12 Days of Christmas Eve,12 Days of Christmas Eve,2004,,Alberta Film Entertainment,United States of America,English,89.0,"Martha Coolidge, J.B. White, Jean Abounader","Steven Weber, Mark Krysko, Chad Willett","TV Movie, Family, Fantasy, Comedy, Drama",,"Calvin Carter, a successful business executive, has it all, but neglects those closest to him. On Christmas Eve, all that changes when the sign on his office building falls on him. He awakes in a hospital bed, attended to by Angie, a nurse who soon lets him know he has 12 days (12 chances) to get his act together and achieve the ""perfect"" Christmas Eve. If he doesn't, there will be dire consequences.",,,5.6,12,59700,tt0436855
12 Dog Days Till Christmas,12 Dog Days Till Christmas,2014,,"MarVista Entertainment, G It's Entertainment",United States of America,English,90.0,Charlie Vaughn,"Reginald VelJohnson, Vincent Giovagnoli, Lunden De'Leon",Family,,"After being assigned to an animal rescue shelter as part of his community service by his probation officer, a troubled teenager is forced to get into the spirit of the holidays when he is recruited to help find homes for twelve unwanted dogs before Christmas.",,,5.4,8,307115,tt3579698
12 O’Clock Boys,12 O’Clock Boys,2013,,"Prospekt, Mission Films",United States of America,English,76.0,"Lotfy Nathan, Lofty Nathan","Coco, Pug, Steven",Documentary,,"Pug, a wisecracking 13 year old living on a dangerous Westside block, has one goal in mind: to join The Twelve O'Clock Boys; the notorious urban dirt-bike gang of Baltimore. Converging from all parts of the inner city, they invade the streets and clash with police, who are forbidden to chase the bikes for fear of endangering the public. When Pug's older brother dies suddenly, he looks to the pack for mentorship, spurred by their dangerous lifestyle. Pug's story is coupled with unprecedented, action-packed coverage of the riders in their element. The film presents the pivotal years of change in a boy's life growing up in one of the most dangerous and economically depressed cities in the US.",,44.0,6.1,18,169853,tt2420006
12 Pound Balls,12 Pound Balls,2017,,Nordic Tundra Entertainment,United States of America,English,80.0,Zachary Madson,"Jessica Kozak, Jake Head, Nick Hardcastle",Comedy,,"It takes BALLS to win. At least that's what the local bowling clubs in idyllic Warroad, Minnesota used to say, before Emily came along. Now that she has returned to resurrect her name on the champion's board, Gunnar and the boys in town are polishing up their equipment for another shot at the title. This screwball ensemble mockumentary captures Emily's return from retirement, to avenge her loss to Gunnar, and bring justice to her family name. It's gutter-ball madness where split happens.",,,6.3,3,457860,tt5544754
12 Round Gun,12 Round Gun,2017,,,,English,92.0,Sam Upton,"Sam Upton, Mark Boone Junior",Drama,,"A washed up, alcoholic ex-prizefighter makes a comeback to boxing after his top heavyweight contender son is wrongfully blinded in the ring.",,,7.5,2,487451,tt3396208
13/13/13,13/13/13,2013,,The Asylum,United States of America,English,90.0,James Cullen Bressack,"Trae Ireland, Erin Coker, Calico Cooper",Horror,,It's the 13th month of the 13th year of the new millennium.,,,3.5,21,226269,tt2991516
1313: Actor Slash Model,1313: Actor Slash Model,2011,,,,English,72.0,"David DeCoteau, Barbara Kymlicka","Luke Allen, Tyler Bachtel, Michelle Bauer","Horror, Thriller",1313 Collection,An embittered actor decides it's time to slash a few models after losing a life-changing role to some guy who looks good with his shirt off.,,,4.0,2,84585,tt1838433
1313: Bigfoot Island,1313: Bigfoot Island,2012,,Rapid Heart Pictures,Canada,English,75.0,David DeCoteau,"Adam Ballantyne, Nick Chernoff, Kathryn Collins","Horror, Thriller",1313 Collection,"On an island in the Pacific Northwest, a young woman calls to ancient spirits in order to right the wrongs inflicted on her. For this she summons the mythical beast that has long been rumored to roam the verdant forests. Nearby, a young man readies a cabin for the arrival of his friends. They’ve been coming to this place every year since they were kids, to relax and shape up before the start of a new college year. Only this time, they’re about to meet their worst nightmare.",,,5.0,1,91319,tt2083123
1313: Frankenqueen,1313: Frankenqueen,2012,,,United States of America,English,72.0,"David DeCoteau, Charlie Meadows, Marco Colombo","Tyler P. Scott, Connor Weil, Jonathan Davis","Horror, Thriller",1313 Collection,"A group of young men agree to act as ""test subjects"" for plastic surgeon Victoria Franks. But their getaway at Victoria's lavish Malibu mansion turns deadly, as their mad scientist hostess implements a nefarious and homicidal agenda.",,,3.9,4,127739,tt2321141
1313: Giant Killer Bees!,1313: Giant Killer Bees!,2011,,,,English,,"David DeCoteau, Moses Rutegar","Jarrid Balis, Alberto Frezza, Carey James",,1313 Collection,Giant killer bees attack scientists.,,,1.6,4,192483,tt2165529
1313: Haunted Frat,1313: Haunted Frat,2011,,Rapid Heart Pictures,United States of America,English,80.0,"David DeCoteau, Marco Colombo","David Flannery, Luke Allen, Zach Cuddeback","Thriller, Horror",,"During Spring Break, a fraternity built atop the burned ruins of an insane asylum is haunted by a sinister visitor...",1000000.0,,4.0,1,207345,tt1698658
1313: Nightmare Mansion,1313: Nightmare Mansion,2011,,Rapid Heart Pictures,United States of America,English,86.0,"David DeCoteau, Marco Colombo","Jud Birza, Cody Matthew Blymire, Brant Dorman","Action, Horror, Thriller",1313 Collection,"Six high school students, WILL, CHARLIE, BARTOK, TODD, STEVIE and LINDA, are handed invitations to a party by the school’s mysterious and enigmatic new student, SADDLER.  However, once they enter Saddler’s house, they are each somehow magically transported to a different room, where Saddler reveals their innermost guilty secrets and desires through the use of black magic and exploits them in an attempt to resurrect his mother, a three-hundred year old witch.",1000000.0,,5.0,1,235537,tt1507989
1313: Night of the Widow,1313: Night of the Widow,2012,,,United States of America,English,72.0,David DeCoteau,"Lou Ferrigno Jr., Justin Schwan, Jake Lockett","Horror, Thriller",1313 Collection,"A group of friends are stalked by a mysterious knife-wielding murderess as they gather at the home of their late friend to hear the reading of his will, and participate in a morbid treasure hunt for the key to his vast fortune.",,,1.3,4,120772,tt2271135
1313: UFO Invasion,1313: UFO Invasion,2012,,,United States of America,English,72.0,"David DeCoteau, Charlie Meadows, Marco Colombo","Monique Parent, Derek North, Priyom Haider",Science Fiction,1313 Collection,"ADAM is a graduate student in theoretical astronomy and working on his dissertation. He’s always been interested in what’s ‘out there’ and he finds a perfect opportunity to both work and play…..in Roswell, New Mexico.",,,1.2,3,95757,tt2136682
13 Cameras,13 Cameras,2015,,,United States of America,English,87.0,"Victor Zarcoff, Jim Cummings, Kevin McManus","PJ McCabe, Sean Carrigan, Sarah Baldwin","Drama, Horror",,"Newlyweds Claire and Ryan have just moved into a new house. Both are hoping Claire’s pregnancy will be the cement needed to hold their already fraying relationship together. Little do they know their marital issues are the least of their problems. For unbeknownst to them, their scruffy, sleazy and lascivious landlord has installed numerous miniature cameras all over their home and has been spying on them from Day One. Then Ryan begins an office affair, and the landlord kits out the secret basement with chains and soundproofing. Something is going to give in this suburban shocker packed with nasty surprises.",,,5.1,70,347751,tt4392454
13 Demons,13 Demons,2016,,,,English,80.0,Daniel Falicki,"Michael Cunningham, Jackson Ezinga, Daniel Falicki",Thriller,,"Gary, and his friends who are into gaming, renaissance fairs and various unsavory vices, stumble across a rare, medieval board game called ""13 Demons."" They discover the game has a dark history and was banned from most countries long ago for strange and mysterious reasons including unexplained deaths attributed to the game. The object is to free the Realm of Darkhaven from the 13 Demons of the Apocalypse. They chalk it up to urban legend and decide to play, what they don't know is that the 13 Demons presently walk the Earth disguised as humans. Slowly, the game consumes them, seducing them into believing they are ""The Golden Paladins,"" and are on a holy mission to save the world. But when the news reveals a number of local deaths caused by tree branches, baseball bats, hammers, etc. from assailants adorned in body armor, the thin line between reality and fantasy is shattered and the horrific realization that they are in way over their heads sets in.",,,3.2,9,464605,tt6552758
13 Eerie,13 Eerie,2013,,"Minds Eye Entertainment, Don Carmody Productions",Canada,English,87.0,"Lowell Dean, Christian Piers Betley, Don Carmody","Katharine Isabelle, Brendan Fehr, Brendan Fletcher","Horror, Thriller",,"Six ambitious forensic undergrads are pitted against one another on a scientific expedition to a remote island, vying to win an esteemed trainee position with the FBI. Unbeknownst to them, the site was formerly used as an illegal biological testing ground for life-term criminals who were then left for dead. The arrival of the students disturbs the resting place, unleashing a pack of zombie criminal convicts who systematically hunt them down, one by one.",3.0,21.0,4.6,53,122369,tt2082152
13 Hours in a Warehouse,13 Hours in a Warehouse,2008,,Crotalus Productions,United States of America,English,92.0,Dav Kaufman,"Paul Cram, Chars Bonin, Carson Lee","Horror, Thriller",,"As five underworld heavies settle in for an all night stay at an abandoned warehouse and former film studio, a series of bizarre and unsettling occurrences quickly lead them to believe they are not alone. It was supposed to be a simple night of babysitting a single hostage, but when a series of numbers began to appear on the walls things soon took a dark turn. Later, after the hostage escapes, the perplexed thugs not only learn that there is a rat in the ranks, but also discover the unsettling nature of the films that were shot in the warehouse. Now, as terror takes hold, the thieves are about to discover that they are being stalked from the shadows and that their odds of living to see daybreak are shrinking with each passing minute.Written by Jason Buchanan, All Movie Guide",,,4.7,13,16280,tt1065060
13 Sins,13 Sins,2014,,"Dimension Films, IM Global",United States of America,English,93.0,"Daniel Stamm, Brian Kavanaugh-Jones, Kiki Miyake","Mark Webber, Devon Graye, Rutina Wesley","Horror, Thriller",,"Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.",5000000.0,13809.0,6.3,613,155084,tt2059171
13th,13th,2016,,Kandoo Films,United States of America,English,100.0,"Ava DuVernay, Spencer Averick, Adam Del Deo","Jelani Cobb, Angela Davis, Henry Louis Gates, Jr.",Documentary,,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,,,8.1,303,407806,tt5895028
13th: A Conversation with Oprah Winfrey & Ava DuVernay,13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017,,,United States of America,English,30.0,,"Ava DuVernay, Oprah Winfrey",Documentary,,"In this 30-minute interview, Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",,,6.9,8,437443,tt6491068
13th Child,13th Child,2002,,,,English,99.0,"Thomas Ashley, Steven Stockage, Michael Maryk","Cliff Robertson, Lesley-Anne Down, Christopher Atkins","Horror, Thriller",,People are being killed by someone or something using superhuman strength. A clever DA Assistant is sent to investigate. Is this just a way to commit the perfect murder or will the legend of the Jersey Devil prove to be true?,,,2.7,9,29922,tt0273041
13 Times Evil,13 Times Evil,2016,,,,English,,"Philip Gardiner, O.H. Krill","Rick Wallen, Charles Thompsen, Robert Pitt",Documentary,,History is replete with psychotic killers with a horrific and utterly barbarous list of murders and slayings. Explore the darkness that haunts our souls and takes some over the precipice. This is the horror...13 of the Most Evil People to have walked the Earth.,,,0.0,0,386666,
14+,14+,2015,,Central Partnership,Russia,Russian,102.0,"Andrey Zaitsev, Vera Korotaevskaya","Gleb Kalyuzhny, Ulyana Vaskovich, Olga Ozollapinya","Romance, Drama",,"Alex glides his mouse tenderly over online images of Vika. He has been smitten ever since he saw her with her friends and cannot get her out of his head. Now he has found Vika’s profile online and has learned a lot about her. Vika has no idea about any of this. She is beyond Alex’s reach because her school and block of flats are enemy territory for him. Alex nonetheless sneaks into a disco at her school and plucks up the courage to ask her to dance. Incensed by the intruder, the other boys give Alex a beating.",,173616.0,7.3,39,325388,tt4427076
1492: Conquest of Paradise,1492: Conquest of Paradise,1992,,"Paramount, Gaumont",France,English,154.0,"Ridley Scott, Iain Smith, Alain Goldman","Gérard Depardieu, Armand Assante, Sigourney Weaver","Action, Adventure, Drama, History",,1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,47000000.0,7191399.0,6.2,381,1492,tt0103594
14 Blades,錦衣衛,2010,,Shanghai Film Group,Hong Kong,Chinese,114.0,"Daniel Lee, Lau Ho-Leung, Chan Siu-Cheung","Donnie Yen, Zhao Wei, Wu Zun","Drama, Action, Thriller",,"Trained in clandestine combat from childhood, the Jinyiwei were masters of the 14 Blades; eight being for torture, five for killing, and the last blade reserved for suicide when a mission failed. An elite force of secret agents with a license to kill, the Jinyiwei devoted their lives and lethal prowess to the service of the Emperor alone. When the Imperial Court is taken over by evil eunuch Jia (Law Kar Ying), the best of the Jinyiwei, Qinglong (Donnie Yen) is assigned to steal a list identifying those still loyal to the Emperor. However unbeknownst to Qinglong, the Jinyiwei have fallen under the control of Jia, and during the mission Qinglong is betrayed and barely escapes with his life. Now as the most wanted man in the land, Qinglong must seek out and rally the loyalists to rise against Jia and restore the Emperor to power. In his way are the deadliest assassins in the land, his former brethren, the Jinyiwei.",20000000.0,,6.5,91,34179,tt1442571
14 Cameras,14 Cameras,2018,,"30 Bones Cinema, Hood River Entertainment",United States of America,English,90.0,"Seth Fuller, Scott Hussion, Andrew van den Houten","Neville Archambault, Kodi Saint Angelo, Jacob Browne","Horror, Thriller",,"When a family of four rent a beautiful house for their summer vacation, the price seems too good to be true. Unbeknownst to them, the lascivious owner has set up a series of spy cams throughout the house, documenting their most intimate moments and live streaming them to the dark web.",,,5.4,38,534235,tt7476438
14 Minutes from Earth,14 Minutes from Earth,2016,,,,English,86.0,"Trey Nelson, Jerry Kolber, Adam 'Tex' Davis, Erich Sturm",,Documentary,,"At the break of dawn on October 24, 2014, 57-year old Google Executive Alan Eustace slowly rises into the air dangling below a helium balloon. This ascent is the culmination of three years of planning under an utmost secret mission which started as a scribble on a paper napkin. Eustace realized that as a private citizen you cannot merely walk into a store and buy a spacesuit. He determined that he would have to call upon the brightest minds in the country to pioneer a new technological invention in order to make his dream come true.",,,5.8,4,390603,tt5626716
1:54,1:54,2016,,Cinémaginaire,Canada,French,106.0,"Yan England, Denise Robert, Diane England","Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay",Drama,,"Tim is a bit of a loner. At school he gravitates towards another shy boy and they become friends. But the verbal and physical bullying by a gang of kids, as well as an aggressive use of social media, unsettle Tim’s new mate and he backs away from him – an act of cowardice which will have serious repercussions. As a result of Tim’s unwillingness to snitch, the bullies appear to get away with their actions, none more so than the gang’s leader Jeff. He’s one of the school’s star athletes, who seems guaranteed a place in the national championships with an 800m time of 1.54 minutes. When Tim decides to start training in order to go up against Jeff, even having a girlfriend as cover, his enemies seem willing to go to any lengths to stop him.",,,7.1,81,415665,tt5834036
15 August,15 August,2019,,,India,Hindi,,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare","Comedy, Romance",,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",,,7.0,1,585836,tt9817300
